opcion_id,partida_id,proveedor,producto,precio_unit_mxn,estado_precio,fecha_precio,tienda_fisica,sucursal_o_zona,distancia_desde_coyoacan,enlace,recomendacion,notas,plataforma,bloque_envio
OPC-279,F1-014,UNIT Electronics,Sensor de humedad de suelo capacitivo anticorrosivo,26,aprox,2026-09-18,no,en linea,,https://uelectronics.com,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). OJO: comprando en linea pierdes el filtro presencial contra el 20-30% de piezas malas de fabrica. Recomiendo subir a 8-10 piezas ($208-260) justo porque ya no puedes revisarlas antes de pagar. Amazon NO sirve aqui: sus resultados son medidores de jardineria de $270-1,585, no el sensor analogico.",tienda_propia,unit
OPC-280,F1-015,UNIT Electronics,Modulo relevador 5V 4 canales optoacoplado,110,aprox,2026-09-18,no,en linea,,https://uelectronics.com/producto/relevador-5v-de-1-a-8-canales/,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). Amazon verificado: ASIN B07Q1HSLKL a $180 con Entrega GRATIS, 64% mas caro.",tienda_propia,unit
OPC-281,F1-016,ZINKER,ZINKER Eliminador de Corriente Universal 12V 5A 60W para CCTV,329,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B0F22XTK24,alternativa,"GRATIS (Entrega GRATIS el 20-sep, leido en la ficha). Amazon Mexico da envio gratis desde $299 sin Prime desde marzo 2026 · Va en el PEDIDO 2 (Amazon). Quedan 10 en stock. ALTERNATIVA CON GARANTIA: Steren ELI-1260 a $399 en steren.com.mx, envio $89 pero GRATIS a partir de $499 (verificado en la ficha hoy) - si juntas la fuente con el no-break NB-605 de Steren pasas el umbral y ambos llegan sin cos",amazon,amazon
OPC-282,F1-017,Vendedor de Amazon Mexico,"Bomba de diafragma DC 12V, 0.1-6 L/min, 0.9 MPa, 70 W, autocebante",239,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B0FQJNK1ZQ,alternativa,"GRATIS (leido en la ficha) · Va en el PEDIDO 2 (Amazon). El caudal 0.1-6 L/min cae justo en los 4-6 L/min que pide el BOM. NO trae presostato explicito: si lo quieres integrado, VEVOR 12V 18.9 L/min con presostato automatico, ASIN B0FY3JCRC2 a $1,173.79 con Entrega GRATIS (verificado) - pero ese caudal es excesivo para nebulizar.",amazon,amazon
OPC-283,F1-018,Vendedor de Amazon Mexico,Kit de Riego por Goteo Completo con Nebulizacion para Jardin,360,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B07C7SZJHR,alternativa,"GRATIS (leido en resultados de busqueda, Entrega GRATIS 20-sep) · Va en el PEDIDO 2 (Amazon). Solo quedaba 1 en stock al momento de la busqueda. Opcion mas robusta verificada: boquillas de laton de alta presion, ASIN B0G57NBH48 a $399 con Entrega GRATIS - el laton no se tapa con el sarro del agua de CDMX como el plastico.",amazon,amazon
OPC-284,F1-019,UNIT Electronics,Sensor Ultrasonico Contra El Agua JSN-SR04T,121.09,aprox,2026-09-18,no,en linea,,https://www.mercadolibre.com.mx/sensor-ultrasonico-contra-el-agua-jsn-sr04t-cdmx-electroni/p/MLM47581839,alternativa,"Sin envio gratis por si solo (esta debajo de los $299 de ML). Si lo pones en el mismo carrito de la Tienda Oficial con otros articulos y pasas $299, el envio es gratis · Precio leido HOY directo en la pagina de la Tienda Oficial de UNIT en ML (no en la ficha). Sale $29 mas barato que los $150 del BOM. Decide: o va en el PEDIDO 1 por uelectronics.com a $150, o abres un carrito en la Tienda Oficial ",mercadolibre,unit
OPC-285,F1-020,Vendedor de reacondicionados en Amazon Mexico,"Lenovo ThinkCentre M920Q Tiny PC, i5, 8 GB RAM, 256 GB SSD (reacondicionado)",3699,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B0HG9LLG9B,alternativa,"Lenovo ThinkCentre M920Q reacondicionado con garantía a $3,699, contra los ~$3,000 de uno usado sin garantía en Mercado Libre",amazon,amazon
OPC-286,F1-021,Smartbitt,"Smartbitt No-Break Interactivo 600 VA, regulador y supresor de picos",1176.6,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B078TQ7BNB,alternativa,"No-break Smartbitt 600 VA a $1,176.60, contra los $900 estimados del genérico",amazon,amazon
OPC-287,F1-022,Vendedor de Amazon Mexico,"Gabinete Plastico para Exterior IP65 de 300 x 300 x 150 mm, cierre por tornillos, TXG-01-571",614.72,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B08FBKJZRM,alternativa,"Gabinete IP65 300x300x150 a $614.72 c/u, contra los $350 estimados. Es 150 mm de fondo, no 90: cabe mejor el buck y el riel DIN",amazon,amazon
OPC-288,F1-023,UNIT Electronics,"Lote armado con su catalogo: cable, borneras, portafusibles, termofit, cinchos",1000,aprox,2026-09-18,no,en linea,,https://uelectronics.com,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · ESTA ES LA PARTIDA QUE PEOR SE COMPRA EN LINEA y aun asi conviene meterla al PEDIDO 1: son ~20 SKUs chicos, y comprados sueltos en ML pagarias hasta 20 envios. Metiendolos al carrito de UNIT el envio marginal es $0. LO QUE PIERDES: la nota del BOM decia 'comprar en persona y de paso conocer al proveedor de emergencia del mismo dia' - eso no se ",tienda_propia,unit
OPC-289,F1-024,Megaluz,"Megaluz T8W30R02 Regleta LED 120 cm, 30 W, 2400 lm, 6500 K - paquete de 4",139,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B0DRWFSHX8,alternativa,"Megaluz T8 30 W: paquete de 4 a $556 = $139 c/u. Es de 30 W, no 18 W: más luz y más consumo, revisa el cálculo eléctrico antes",amazon,amazon
OPC-290,F1-025,Megaluz,Incluido: la regleta Megaluz T8W30R02 ya trae cuerpo y cableado,400,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B0DRWFSHX8,alternativa,"$0: es el mismo articulo de F1-024 · AHORRO DE $400. Comprando regleta integrada en lugar de tubo pelon + canaleta, esta partida desaparece. Si en cambio te vas por el tubo T8 pelon (JWJ o el pack de 10 de $449), entonces si necesitas bases/canaletas: la opcion verificada mas cercana en Amazon es la regleta Megaluz suelta de $189 (ASIN B0DRWBHLDV), lo cual demuestra que comprar regleta integrada s",amazon,amazon
OPC-291,F1-027,Hydro Environment,"Malla sombra por metro al 35% de 3.7 m de ancho (HDPE con proteccion UV, vida util 5 anos)",129,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/malla-sombra-por-metro-al-35-de-3-7-m-de-ancho/,alternativa,"Sin envio gratis. Viaja en el MISMO embarque que el plastico F1-005 y el perfil F1-007, asi que su envio marginal es practicamente cero. · Precio identico al del BOM ($129/m). DATO QUE CAMBIA LA DECISION: a partir de 10 m baja a $99/m y a partir de 20 m a $72/m. Si vas a ampliar a 5x6 en Fase 2 como dice la nota de F1-001, comprar 10 m ahora ($990) en vez de 6 m ($774) te deja 4 m extra por $216, ",tienda_propia,hydroenv
OPC-292,F1-028,Hydro Environment,"Jabon Potasico Agricola 1 L, insecticida y fungicida organico",225,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/jabon-potasico-1l-uso-agricola/,alternativa,"Sin costo extra: entra en el mismo pedido del bloque Hydro Environment · MEJORA SOBRE EL BOM: el BOM apuntaba a Soluciones Naturales Pro a $250 en un pedido aparte. Hydro Environment lo tiene a $225 Y lo mete en el pedido que ya vas a hacer: ahorras $25 mas un envio completo. Alternativa verificada si Hydro Environment se queda sin: Soluciones Naturales Pro $250/kg (6+ $230, 10+ $190), https://sol",tienda_propia,hydroenv
OPC-293,F1-029,Hydro Environment,Bolsa de 20 trampas cromaticas amarillas pegajosas 25x20 cm,276.08,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/1160-bolsa-de-20-trampas-amarilla-pegajosa-de-25x20-cm/,alternativa,"Sin costo extra: entra en el pedido del bloque Hydro Environment · El BOM presupuesto $150 por 'un paquete' sin definir cuantas. Aqui son 20 trampas por $276.08, o sea $13.80 cada una, para 4 racks. Alternativa Amazon si quieres cerrar el bloque Hydro Environment mas barato: 'Trampa Amarilla Pegajosa Doble Cara 20x25 cm, 10 piezas' $295 con envio gratis, o '36 piezas trampas adhesivas' $339 con en",tienda_propia,hydroenv
OPC-294,F1-031,The Home Depot Mexico,Truper rotomartillo SDS Plus 2 Joules 650 W industrial (ROEL-20N) + brocas SDS + nivel,1600,aprox,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/truper-rotomartillo-sds-plus-2-joules-650-w-industrial-truper-roel-20n-207908,alternativa,"GRATIS dentro del pedido de Home Depot. · Home Depot tiene toda la escalera: Truper SDS Plus 2 J / 650 W (el economico, suficiente para anclar 6 placas en firme), 4 J / 1000 W Expert y 5 J / 1500 W industrial. Todo entra en el mismo pedido gratis. Como el BOM dice, si suelda el herrero no compres esmeriladora ni careta.",tienda_propia,homedepot
OPC-295,F2-003,The Home Depot Mexico,"Tuberia, valvulas y conexiones hidraulicas/sanitarias",750,aprox,2026-09-18,no,en linea,,https://www.homedepot.com.mx/b/plomeria/tuberias-y-conexiones/sanitarias,alternativa,"El retorno de 2 pulgadas viene en tramos de 6 m. Mismo límite · GRATIS dentro del pedido de Home Depot. · Lote heterogeneo: hay que armarlo pieza por pieza en el carrito. Consolida con F2-001, F2-002 y F2-004 sin costo extra de envio.",tienda_propia,presencial
OPC-296,F2-004,The Home Depot Mexico,Cemento para PVC Contact 240 mL + limpiador Tangit 240 mL + teflon + lima,280,aprox,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/cemento-para-pvc-240-ml-transparente-contact-104028-104028,alternativa,"GRATIS dentro del pedido de Home Depot. Solo NO llegaria al umbral de $799. · Caso perfecto de consolidacion: $280 de producto que por si solos pagarian envio, y que aqui viajan gratis pegados al tinaco y a los racks. Localice tambien el limpiador Tangit 240 mL en el mismo sitio: https://www.homedepot.com.mx/p/tangit-tangit-limpiador-para-tuberias-de-pvc-240-ml-cleanser-128525",tienda_propia,homedepot
OPC-297,F2-005,Amazon Mexico,Opcion A: 'Macetas Hidroponicas Red 3 Pulgadas 25 Unidades con ranuras de drenaje' | Opcion B: '50 PCS tazas de red de malla ranuradas 3 pulgadas',8.09,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=canastilla+hidroponica+3+pulgadas+maceta+red,alternativa,"Macetas de red 3 pulgadas, paquete de 25 a $202.37 = $8.09 c/u. Más barato que los $12.80 de Hydroenv",amazon,amazon
OPC-298,F2-006,The Home Depot Mexico,"Broca sierra bimetalica del diametro medido + mandril (marca Diablo o Truper, pieza suelta)",300,aprox,2026-09-18,no,en linea,,https://www.homedepot.com.mx/b/herramientas/accesorios-para-herramientas-electricas/brocas/broca-sierra-bi-metal-1-105629,alternativa,"GRATIS dentro del pedido de Home Depot. · CUIDADO: el juego Truper de 6 brocasierras + 2 mandriles que aparece primero cuesta $1,439 y solo trae 3/4 pulg y 7/8 pulg: NO sirve para una canastilla de 3 pulg. Compra UNA pieza suelta del diametro que midas (probablemente 3 1/4 a 3 1/2 pulg) mas su mandril. Como dice el BOM: mide la canastilla ANTES de comprar.",tienda_propia,homedepot
OPC-299,F2-007,Hydro Environment,"Bomba sumergible 4500 LPH para hidroponia y estanques, 72 W, 110-120 V, altura 2.65 m",1199,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/bomba-sumergible-4500-lph-para-hidroponia-y-estanques/,alternativa,"Sin costo extra: entra en el pedido del bloque Hydro Environment. 2.252 kg, 21x16x14 cm · OJO: la ficha dice 72 W, el BOM anoto 65 W. El argumento del BOM (72 W contra 370 W de una periferica) sigue en pie. Amazon tiene VIOPY 4500 L/H 90 W y VIVOSUN 4500 GPH 220 W con envio gratis, pero 90 W ya es 25% mas consumo 24/7 y la VIVOSUN es otra categoria de bomba. Quedarse con Hydro Environment ademas c",tienda_propia,hydroenv
OPC-300,F2-008,Hydro Environment,"Filtro de malla para riego 1 pulgada macho-macho, 120 mesh (~130 micras)",230,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/filtro-de-malla-para-riego-de-1-pulgada-con-salida-y-entrada-tipo-macho/,alternativa,"Sin costo extra: entra en el pedido del bloque Hydro Environment · 120 mesh confirmado en ficha, coincide con el BOM. Caudal recomendado 6-8 m3/h, muy por encima del 1-2 L/min por linea del diseno: no estrangula.",tienda_propia,hydroenv
OPC-301,F2-010,Hydro Environment,Semillero de foami agricola 144 bloques 30x30 cm,45.5,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/semillero-de-foami-agricola-de-144-bloques-30x30-cm/,alternativa,"Sin costo extra: entra en el pedido del bloque Hydro Environment · Amazon solo vende esponjas hidroponicas sueltas genericas (50 pzas $137-$268), no la plancha agricola de 144 bloques. Hydro Environment es la opcion real y ademas consolida. A $45.50 por 144 bloques sale $0.32 por planta, igual que dice el BOM.",tienda_propia,hydroenv
OPC-302,F2-011,Hydro Environment,"Solucion nutritiva para hortalizas 1.5 kg, rinde 1,000 L",349,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/solucion-nutritiva-para-hortalizas-de-1-5-kg-rinde-para-1000-litros/,alternativa,"Sin costo extra: entra en el pedido del bloque Hydro Environment · ESCALON QUE VALE LA PENA MIRAR: comprar 3 en vez de 2 cuesta $930 contra $698, o sea $232 mas por 1,000 L extra de solucion. Si ya vas a pagar el flete de este pedido, la tercera pieza es la mas barata que vas a comprar nunca. Escalones: 1-2 $349, 3-4 $310, 5-7 $279, 8+ $259.",tienda_propia,hydroenv
OPC-303,F2-012,Hydro Environment,"AquAcid buffer para bajar pH, 1 L con gotero dosificador",516,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/aquacid-buffer-para-bajar-ph-regulador-de-ph-para-hidroponia/,alternativa,"RIESGO: la ficha lo clasifica ONU 1789 - Acido Clorhidrico, Clase 8, Grupo de embalaje II, corrosivo. Estafeta y Red Pack, que son las dos paqueterias que usa Hydro Environment, normalmente rechazan Clase 8 en paqueteria estandar · Precio $516 coincide exacto con el BOM. Pero es el UNICO renglon del bloque Hydro Environment que puede tumbarte el pedido: es HCl Clase 8. Recomendacion: pon el resto ",tienda_propia,hydroenv
OPC-304,F2-013,Amazon Mexico,"Solucion de calibracion pH 4.00 + pH 7.00 + EC 1413 uS/cm + solucion de limpieza de electrodos, 50 ml cada una",247.31,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=solucion+calibracion+ph+4.01+6.86+conductividad+1413,alternativa,"ES UN KIT de $494.62 que trae pH 4.00 + pH 7.00 + EC 1413 + limpiador de electrodos. Prorrateado aquí a 2 unidades. Si lo compras, F2-014 y F2-015 ya vienen dentro: descuéntalas del total",amazon,amazon
OPC-305,F2-014,Amazon Mexico,Cubierto por el mismo kit de F2-013 (incluye el punto pH 7.00),150,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=solucion+calibracion+ph+4.01+6.86+conductividad+1413,alternativa,"Incluido en el mismo envio gratis · El BOM ya dice que 6.86 y 7.01 son equivalentes para este uso; el kit trae 7.00, que sirve igual como segundo punto. Alternativa de mas volumen y marca seria: Hydrocultura vende Hanna HI7007-023 (230 ml) dentro de su rango 'desde $140.96', y se consolidaria con el pedido de semillas. Tambien hay en Amazon un paquete de 15 sobres de polvo pH 4.00/6.86/9.18 con 3 ",amazon,amazon
OPC-306,F2-015,Amazon Mexico,Cubierto por el mismo kit de F2-013 (incluye EC 1413 uS/cm),459.36,verificado,2026-09-18,no,en linea,,https://hydrocultura.com/products/hi7031-023-gro-line-solucion-de-1413-us-de-230-ml,alternativa,"Kit Amazon: gratis. Hydrocultura: sin umbral, pero se consolida con el pedido de semillas. HANNA Mexico: envio GRATIS en compras mayores a $2,552 con IVA · TRES CAMINOS, elige por estrategia y no por precio suelto: (1) kit Amazon $494.62 por las tres partidas, cero envio, pero 50 ml c/u; (2) Hanna HI7031-023 230 ml $316 EN EL PEDIDO DE HYDROCULTURA, junto con brocoli, finas y albahaca: cero envio ",amazon,amazon
OPC-307,F2-016,UNIT Electronics,Sonda pH PH-4502C + electrodo E201C-BNC,318,aprox,2026-09-18,no,en linea,,https://uelectronics.com/producto/sensor-de-ph-liquido/,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). Amazon verificado hoy: modulo equivalente a $357.59 (ASIN B0CZ7V1D5C, Entrega GRATIS) y el kit Gravity DFRobot a $1,062.93 (ASIN B07L2RSHYN, Entrega GRATIS). UNIT sigue ganando $40 y ademas no abre un envio nuevo.",tienda_propia,unit
OPC-308,F2-017,UNIT Electronics,Sensor TDS Meter v1.0 analogico SEN0244,253,aprox,2026-09-18,no,en linea,,https://uelectronics.com/producto/sensor-tds-meter-v1-0-analogico-sen0244/,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). Amazon verificado: el SEN0244 original DFRobot Gravity a $379 (ASIN B086GX2539, Entrega GRATIS), $126 mas caro que UNIT.",tienda_propia,unit
OPC-309,F2-018,Kamoer,"Kamoer Black NKP - Bomba peristaltica 12 V CC de larga vida, dosificadora",175,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B092Z9HR3D,alternativa,"GRATIS (Entrega GRATIS el 22-sep, leido en la ficha) · MEJORA IMPORTANTE SOBRE EL BOM: el BOM presupuestaba $225 c/u en ML ($900) y decia 'NO HAY MOSTRADOR'. Kamoer NKP a $175 con envio gratis baja la partida a $700: AHORRAS $200 y ademas es marca real de peristalticas, no generica. Version negra $175 (B092Z9HR3D) o la misma en $199 (B07GWJ78FN). Por ser vendedor extranjero llega en plazo separado",amazon,amazon
OPC-310,F2-019,UNIT Electronics,Valvula solenoide 12V 1/2 NC,128,aprox,2026-09-18,no,en linea,,https://uelectronics.com,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). AQUI UNIT GANA POR MUCHO: en Amazon la solenoide NC de 1/2 y 12 VDC mas barata verificada es Beduan de laton a $500.51 (ASIN B07N6246YB) y la RIH a $450 (ASIN B0FKZGWZCZ). Comprar estas 2 en Amazon te costaria $900-1,000 contra $256 en UNIT.",tienda_propia,unit
OPC-311,F2-020,UNIT Electronics,ESP32-CAM OV2640 V3 con interfaz tipo C,260,aprox,2026-09-18,no,en linea,,https://uelectronics.com/producto/esp32-cam-ov2640-v3-con-interfaz-tipo-c/,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). Amazon verificado: $382.08 (ASIN B0H6DBJBPP, Entrega GRATIS) y $399 (ASIN B0G1SGCRY4). UNIT es $120-140 mas barato.",tienda_propia,unit
OPC-312,F2-021,UNIT Electronics,Sensor de flujo de agua YF-S201,64,aprox,2026-09-18,no,en linea,,https://uelectronics.com,alternativa,$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). Amazon verificado: el mas barato es $130.55 pero con envio de $30.35 aparte (ASIN B0H5JH5SBM); el primero con envio gratis cuesta $179.79 (ASIN B0G64VFVN2). UNIT lo da a menos de la mitad.,tienda_propia,unit
OPC-313,F2-022,Isla Urbana,Paquete Basico Tlaloc (tlaloque + filtro de hojas + axolote),5300,verificado,2026-09-18,no,en linea,,https://islaurbana.mx/product/paquete-basico-tlaloc/,alternativa,"No publicado. Tienda fisica en Coyoacan a 2 km: recoger. · NO SUMA AL TOTAL: es la misma funcion que F1-010, que ya se decide y se paga en Fase 1. Lo verifico aqui solo para cerrar la duda de existencia del producto. Si en Fase 1 elegiste el DIY de $1,500 y ahora quieres el Tlaloc, el delta real sigue siendo +$3,800 como dice tu BOM.",tienda_propia,presencial
OPC-314,F2-023,The Home Depot Mexico,Truwater portafiltro alto flujo 10 pulg con soporte + filtro sedimentador 2.5x10 5 micras + filtro carbon en block 2.5x10,1000,aprox,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/truwater-portafiltro-alto-flujo-10-con-soporte-1-tw-hf1010g-hd-135209,alternativa,"GRATIS dentro del pedido de Home Depot. · Toda la linea Truwater esta en Home Depot, incluidos los cartuchos de repuesto (sedimento 5 micras: .../truwater-filtro-sedimentador-25x10-5-micras-tw05-10-unit-135179; carbon en block: .../truwater-filtro-de-carbon-en-block-25x10-10-micras-tw-cb-unit-135186). Como el BOM avisa que los CARTUCHOS son consumible cada 4-6 meses, conviene meter un juego de rep",tienda_propia,homedepot
OPC-315,F2-024,Amazon Mexico,"Medidor pH + TDS/EC/Temperatura 4 en 1 con ATC, resolucion 0.01 pH, TDS 0-9990 ppm",239,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=medidor+ph+ec+tds+hidroponia+digital,alternativa,"Entrega GRATIS · AHORRO CLARO: $239 contra $450 del BOM (-$211). DESCARTE IMPORTANTE: Hanna, que seria la marca seria, arranca en $4,412 (HI98131 en Hydrocultura) o $5,428.80 (HI98131 en hannainst.com.mx): 10x el presupuesto. Para el papel de ARBITRO que describe el BOM, el de $239 con ATC cumple, y lo que de verdad lo hace confiable es calibrarlo con estandares buenos, que es la partida siguiente",amazon,amazon
OPC-316,F2-026,Casa del Libro LATAM,"Cultivos hidroponicos 5a ed. - Howard M. Resh, Ediciones Mundi-Prensa, ISBN 9788484760054, 558 pag, 1.44 kg",899,verificado,2026-09-18,no,en linea,,https://latam.casadellibro.com/libro-cultivos-hidroponicos-5-ed-suelo-para-tecnicos-y-agricultores-profesionales-asi-como-para-los/9788484760054/796153,alternativa,"Casa del Libro: el envio sale DESDE ESPANA (entrega estimada 24 de septiembre) con promocion de 70% de descuento en envio a partir de compra minima; no es gratis y no consolida con nada mexicano. El Sotano: envio GRATIS desde $389, pero el libro esta AGOTADO. · TRES DATOS QUE IMPORTAN: (1) Casa del Libro dice ULTIMAS UNIDADES a $899, que es justo el precio del BOM, pero embarca desde Espana: pedid",tienda_propia,presencial
OPC-317,F2-027,Vendedor de Amazon Mexico,"Bateria de Litio LiFePO4 12V 100Ah Grupo 31, ciclo profundo, BMS 100A integrado, Bluetooth",4399,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B0FHDQC567,alternativa,"GRATIS (Entrega GRATIS 2-7 oct, leido en la ficha). 'Envio en 2 a 3 dias' · Va en el PEDIDO 2 (Amazon) y te AHORRA los $158 de envio que el BOM tenia apartados en F2-032. ALTERNATIVA CON RESPALDO DE MARCA: Cyberpuerta tiene la Epcom LI100A12PRO a $4,519 con 1082 piezas en stock (verificado hoy en su buscador) - $120 mas cara y con envio aparte, pero es Epcom by Ritar distribuida por Syscom, con ga",amazon,amazon
OPC-318,F2-028,Vendedor de Amazon Mexico,"Bomba de agua sumergible DC 12 V, 800 L/h, silenciosa, para acuario",440,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B0BX5GCNSD,alternativa,"GRATIS (Entrega GRATIS el 20-sep, leido en resultados de busqueda) · Va en el PEDIDO 2 (Amazon). CAMBIO TECNICO RECOMENDADO: el BOM pide bomba de diafragma 12 V para las 24/7 del NFT, y el diafragma no aguanta servicio continuo (la membrana es consumible). Para recircular 24/7 conviene sumergible brushless DC como esta. Opcion economica verificada: mini bomba brushless a $198.98 (ASIN B0D4VS4VCG, ",amazon,amazon
OPC-319,F2-031,Vendedores de Amazon Mexico,Caja de fusibles de cuchilla 12 V de 6-10 vias con LED ($318) + interruptor de desconexion PV DC 32 A 500 V MCB 2P en caja ($496),318,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/dp/B07123ZFR3,alternativa,GRATIS en ambos (Entrega GRATIS el 20 y el 27-sep). La fusiblera la verifique en ficha: quedaban 3 en stock · Va en el PEDIDO 2 (Amazon). AQUI ESTA LA GRAN VENTAJA DE LA RUTA EN LINEA: el BOM marcaba esta partida como 'parcialmente presencial' porque el seccionador DC fotovoltaico no se consigue en Coyoacan y obligaba a un viaje de 22 km a Vallejo. En Amazon llega gratis a tu casa. El seccionador ,amazon,amazon
OPC-320,F2-037,The Home Depot Mexico,Vissani refrigerador 10.1 pies top mount 2 puertas acero inox platinado HVDR1000PM,8999,verificado,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/vissani-refrigerador-10-pies-top-mount-2-puertas-acero-inox-platinado-hvdr1000pm-231915,alternativa,"Un refrigerador no viaja por paquetería. Home Depot y Costco lo entregan a domicilio con su propio servicio: eso es entrega local, no paquetería · Refrigerador NUEVO Vissani 10.1 pies a $8,999. El BOM presupuesta $4,000 de uno USADO: en línea no hay mercado de usado con garantía. Para producto que se come crudo, nuevo se defiende",tienda_propia,presencial
OPC-321,F2-038,The Home Depot Mexico,Coleman hielera azul de plastico portatil 49.2 L para 80 latas (42 x 62 x 38 cm) - alternativa Coleman negra 51 L,1300,aprox,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/coleman-hielera-azul-de-plastico-portatil-de-492-l-para-80-latas-170795-170795,alternativa,"GRATIS dentro del pedido de Home Depot. · La hielera de 49.2 L cae justo en el rango 45-50 L que pide el BOM y conserva hielo hasta 3 dias. Los gel packs probablemente no esten en Home Depot: revisalos y si no, agregalos al pedido de Amazon o Mercado Libre en vez de abrir uno propio.",tienda_propia,homedepot
